Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"304"	"ZNF175"	"432.3"	"ARCHS4 Coexpression,1265;Enrichr Queries,176;ReMap ChIP-seq,35;GTEx Coexpression,253"	"IL1R1,ID2,ID1,RTL5,VSIG10L,CLU"
"gene_set_query"	"305"	"SPI1"	"432.5"	"Literature ChIP-seq,55;ARCHS4 Coexpression,775;ENCODE ChIP-seq,100;Enrichr Queries,1167;ReMap ChIP-seq,224;GTEx Coexpression,274"	"ZBTB47,ID1,SH3BP5,PHACTR2,PLXNC1,IL12RB2"
"gene_set_query"	"306"	"MAFF"	"432.6"	"ARCHS4 Coexpression,1617;ENCODE ChIP-seq,80;Enrichr Queries,187;ReMap ChIP-seq,162;GTEx Coexpression,117"	"IL1R1,PLK2,ID2,ID1,SNAI1,CLU"
"gene_set_query"	"307"	"USF1"	"433.0"	"ARCHS4 Coexpression,589;ENCODE ChIP-seq,60;Enrichr Queries,779;ReMap ChIP-seq,39;GTEx Coexpression,698"	"ZBTB47,ID2,NT5DC2,ID1,SNAI1,VSIG10L"
"gene_set_query"	"308"	"GRHL2"	"434.8"	"Literature ChIP-seq,137;ARCHS4 Coexpression,684;Enrichr Queries,710;ReMap ChIP-seq,133;GTEx Coexpression,510"	"NT5DC2,ID2,ID1"
"gene_set_query"	"309"	"E2F1"	"436.2"	"Literature ChIP-seq,50;ARCHS4 Coexpression,420;ENCODE ChIP-seq,98;Enrichr Queries,1118;ReMap ChIP-seq,155;GTEx Coexpression,776"	"NT5DC2,PLK2,ID2,ID1,ABHD6,HSPA2,LAMC1,CLU"
"gene_set_query"	"310"	"FOXM1"	"436.5"	"Literature ChIP-seq,60;ARCHS4 Coexpression,311;ENCODE ChIP-seq,28;Enrichr Queries,1116;ReMap ChIP-seq,145;GTEx Coexpression,959"	"NT5DC2,CD109,ID2,ID1,SNAI1,LAMC1"
"gene_set_query"	"311"	"SP2"	"437.2"	"ARCHS4 Coexpression,766;ENCODE ChIP-seq,53;Enrichr Queries,688;ReMap ChIP-seq,222;GTEx Coexpression,457"	"ID2,ID1,HSPA2,VSIG10L"
"gene_set_query"	"312"	"ZKSCAN7"	"438.0"	"ARCHS4 Coexpression,706;GTEx Coexpression,170"	"PLXNC1"
"gene_set_query"	"313"	"ERG"	"440.6"	"Literature ChIP-seq,130;ARCHS4 Coexpression,1503;Enrichr Queries,255;ReMap ChIP-seq,228;GTEx Coexpression,87"	"IL1R1,PLK2,ID1,SNAI1,CLU"
"gene_set_query"	"314"	"EGR3"	"440.7"	"ARCHS4 Coexpression,312;Enrichr Queries,171;GTEx Coexpression,839"	"PLK2,ID2,ID1,CLU"
